"","V1","V2","V3","V4","V5"
"Abudefduf_abdominalis","rocky-reef",NA,NA,NA,NA
"Abudefduf_concolor","rocky-reef",NA,NA,NA,NA
"Abudefduf_declivifrons","rocky-reef",NA,NA,NA,NA
"Abudefduf_hoefleri","rocky-reef",NA,NA,NA,NA
"Abudefduf_margariteus","coral-reef",NA,NA,NA,NA
"Abudefduf_natalensis","rocky-reef",NA,NA,NA,NA
"Abudefduf_sexfasciatus","coral-reef","rocky-reef",NA,NA,NA
"Abudefduf_sordidus","rocky-reef",NA,NA,NA,NA
"Abudefduf_sparoides","coral-reef","rocky-reef",NA,NA,NA
"Abudefduf_taurus","rocky-reef",NA,NA,NA,NA
"Abudefduf_troschelii","coral-reef","rocky-reef",NA,NA,NA
"Abudefduf_vaigiensis","rocky-reef",NA,NA,NA,NA
"Acanthochromis_polyacanthus","coral-reef",NA,NA,NA,NA
"Amblyglyphidodon_batunaorum","coral-reef",NA,NA,NA,NA
"Amblyglyphidodon_flavilatus","coral-reef",NA,NA,NA,NA
"Amblyglyphidodon_flavopurpureus","coral-reef",NA,NA,NA,NA
"Amblyglyphidodon_ternatensis","coral-reef","rocky-reef",NA,NA,NA
"Amblypomacentrus_annulatus","seagrass-rubble-sand",NA,NA,NA,NA
"Amblypomacentrus_kuiteri","seagrass-rubble-sand","coral-reef",NA,NA,NA
"Amblypomacentrus_tricinctus","seagrass-rubble-sand","rocky-reef",NA,NA,NA
"Amphiprion_barberi","sea anemone","coral-reef",NA,NA,NA
"Amphiprion_latezonatus","coral-reef","rocky-reef",NA,NA,NA
"Amphiprion_mccullochi","rocky-reef",NA,NA,NA,NA
"Amphiprion_ocellaris","sea anemone","coral-reef",NA,NA,NA
"Amphiprion_pacificus","sea anemone",NA,NA,NA,NA
"Azurina_atrilobata","coral-reef","rocky-reef",NA,NA,NA
"Azurina_elerae","rocky-reef",NA,NA,NA,NA
"Azurina_hirundo","rocky-reef",NA,NA,NA,NA
"Chromis_abyssus","seagrass-rubble-sand","rocky-reef",NA,NA,NA
"Chromis_albomaculata","rocky-reef",NA,NA,NA,NA
"Chromis_alta","coral-reef","rocky-reef",NA,NA,NA
"Chromis_analis","rocky-reef",NA,NA,NA,NA
"Chromis_cadenati","rocky-reef",NA,NA,NA,NA
"Chromis_chromis","seagrass-rubble-sand","rocky-reef",NA,NA,NA
"Chromis_chrysura","coral-reef","rocky-reef",NA,NA,NA
"Chromis_cinerascens","coral-reef",NA,NA,NA,NA
"Chromis_circumaurea","rocky-reef",NA,NA,NA,NA
"Chromis_crusma","rocky-reef",NA,NA,NA,NA
"Chromis_degruyi","rocky-reef",NA,NA,NA,NA
"Chromis_earina","rocky-reef",NA,NA,NA,NA
"Chromis_flavapicis","rocky-reef",NA,NA,NA,NA
"Chromis_fumea","coral-reef","rocky-reef",NA,NA,NA
"Chromis_hypsilepis","rocky-reef",NA,NA,NA,NA
"Chromis_klunzingeri","coral-reef",NA,NA,NA,NA
"Chromis_limbata","seagrass-rubble-sand","rocky-reef",NA,NA,NA
"Chromis_limbaughi","rocky-reef",NA,NA,NA,NA
"Chromis_lubbocki","rocky-reef",NA,NA,NA,NA
"Chromis_mamatapara","seagrass-rubble-sand","coral-reef","rocky-reef",NA,NA
"Chromis_mirationis","rocky-reef",NA,NA,NA,NA
"Chromis_notata","coral-reef","rocky-reef",NA,NA,NA
"Chromis_punctipinnis","rocky-reef",NA,NA,NA,NA
"Chromis_randalli","rocky-reef",NA,NA,NA,NA
"Chromis_sanctaehelenae","seagrass-rubble-sand","rocky-reef",NA,NA,NA
"Chromis_scotochiloptera","rocky-reef",NA,NA,NA,NA
"Chromis_tingting","coral-reef",NA,NA,NA,NA
"Chromis_vanbebberae","coral-reef","rocky-reef",NA,NA,NA
"Chromis_verater","rocky-reef",NA,NA,NA,NA
"Chromis_xanthopterygia","coral-reef","rocky-reef",NA,NA,NA
"Chrysiptera_biocellata","seagrass-rubble-sand","rocky-reef",NA,NA,NA
"Chrysiptera_brownriggii","seagrass-rubble-sand",NA,NA,NA,NA
"Chrysiptera_caeruleolineata","seagrass-rubble-sand","coral-reef","rocky-reef",NA,NA
"Chrysiptera_caesifrons","rocky-reef",NA,NA,NA,NA
"Chrysiptera_cyanea","seagrass-rubble-sand",NA,NA,NA,NA
"Chrysiptera_flavipinnis","seagrass-rubble-sand","coral-reef",NA,NA,NA
"Chrysiptera_giti","coral-reef",NA,NA,NA,NA
"Chrysiptera_glauca","seagrass-rubble-sand","rocky-reef",NA,NA,NA
"Chrysiptera_oxycephala","coral-reef",NA,NA,NA,NA
"Chrysiptera_parasema","coral-reef",NA,NA,NA,NA
"Chrysiptera_sinclairi","coral-reef",NA,NA,NA,NA
"Chrysiptera_springeri","coral-reef",NA,NA,NA,NA
"Chrysiptera_starcki","rocky-reef",NA,NA,NA,NA
"Chrysiptera_taupou","coral-reef",NA,NA,NA,NA
"Chrysiptera_unimaculata","seagrass-rubble-sand","rocky-reef",NA,NA,NA
"Chrysiptera_uswanasi","coral-reef",NA,NA,NA,NA
"Dascyllus_albisella","coral-reef","rocky-reef",NA,NA,NA
"Dascyllus_flavicaudus","coral-reef","rocky-reef",NA,NA,NA
"Dascyllus_strasburgi","coral-reef","rocky-reef",NA,NA,NA
"Dascyllus_trimaculatus","sea anemone","coral-reef","rocky-reef",NA,NA
"Dischistodus_chrysopoecilus","seagrass-rubble-sand","coral-reef",NA,NA,NA
"Dischistodus_melanotus","seagrass-rubble-sand",NA,NA,NA,NA
"Dischistodus_perspicillatus","seagrass-rubble-sand",NA,NA,NA,NA
"Dischistodus_pseudochrysopoecilus","seagrass-rubble-sand","coral-reef",NA,NA,NA
"Hemiglyphidodon_plagiometopon","coral-reef",NA,NA,NA,NA
"Hypsypops_rubicundus","rocky-reef",NA,NA,NA,NA
"Mecaenichthys_immaculatus","coral-reef","rocky-reef",NA,NA,NA
"Microspathodon_bairdii","rocky-reef",NA,NA,NA,NA
"Microspathodon_chrysurus","coral-reef",NA,NA,NA,NA
"Microspathodon_dorsalis","rocky-reef",NA,NA,NA,NA
"Neoglyphidodon_bonang","coral-reef",NA,NA,NA,NA
"Neoglyphidodon_carlsoni","coral-reef",NA,NA,NA,NA
"Neoglyphidodon_melas","coral-reef",NA,NA,NA,NA
"Neoglyphidodon_polyacanthus","coral-reef",NA,NA,NA,NA
"Neopomacentrus_aktites","coral-reef","rocky-reef",NA,NA,NA
"Neopomacentrus_anabatoides","rocky-reef",NA,NA,NA,NA
"Neopomacentrus_aquadulcis","freshwater",NA,NA,NA,NA
"Neopomacentrus_bankieri","rocky-reef",NA,NA,NA,NA
"Neopomacentrus_cyanomos","coral-reef",NA,NA,NA,NA
"Neopomacentrus_fuliginosus","rocky-reef",NA,NA,NA,NA
"Neopomacentrus_miryae","coral-reef",NA,NA,NA,NA
"Neopomacentrus_nemurus","coral-reef",NA,NA,NA,NA
"Neopomacentrus_sindensis","coral-reef","rocky-reef",NA,NA,NA
"Neopomacentrus_sororius","coral-reef","rocky-reef",NA,NA,NA
"Neopomacentrus_taeniurus","freshwater","seagrass-rubble-sand",NA,NA,NA
"Neopomacentrus_violascens","seagrass-rubble-sand","rocky-reef",NA,NA,NA
"Neopomacentrus_xanthurus","coral-reef",NA,NA,NA,NA
"Nexilosus_latifrons","rocky-reef",NA,NA,NA,NA
"Parma_alboscapularis","rocky-reef",NA,NA,NA,NA
"Parma_mccullochi","rocky-reef",NA,NA,NA,NA
"Parma_microlepis","rocky-reef",NA,NA,NA,NA
"Parma_occidentalis","coral-reef","rocky-reef",NA,NA,NA
"Parma_oligolepis","coral-reef",NA,NA,NA,NA
"Parma_victoriae","rocky-reef",NA,NA,NA,NA
"Plectroglyphidodon_altus","rocky-reef",NA,NA,NA,NA
"Plectroglyphidodon_apicalis","seagrass-rubble-sand","coral-reef",NA,NA,NA
"Plectroglyphidodon_aureus","coral-reef",NA,NA,NA,NA
"Plectroglyphidodon_emeryi","coral-reef",NA,NA,NA,NA
"Plectroglyphidodon_fasciolatus","coral-reef","rocky-reef",NA,NA,NA
"Plectroglyphidodon_gascoynei","coral-reef","rocky-reef",NA,NA,NA
"Plectroglyphidodon_insularis","coral-reef",NA,NA,NA,NA
"Plectroglyphidodon_johnstonianus","coral-reef",NA,NA,NA,NA
"Plectroglyphidodon_obreptus","rocky-reef",NA,NA,NA,NA
"Plectroglyphidodon_randalli","rocky-reef",NA,NA,NA,NA
"Pomacentrus_adelus","seagrass-rubble-sand",NA,NA,NA,NA
"Pomacentrus_albicaudatus","coral-reef",NA,NA,NA,NA
"Pomacentrus_alleni","seagrass-rubble-sand","coral-reef",NA,NA,NA
"Pomacentrus_aquilus","coral-reef",NA,NA,NA,NA
"Pomacentrus_armillatus","coral-reef",NA,NA,NA,NA
"Pomacentrus_auriventris","seagrass-rubble-sand",NA,NA,NA,NA
"Pomacentrus_baenschi","coral-reef",NA,NA,NA,NA
"Pomacentrus_burroughi","seagrass-rubble-sand",NA,NA,NA,NA
"Pomacentrus_caeruleus","seagrass-rubble-sand",NA,NA,NA,NA
"Pomacentrus_chrysurus","seagrass-rubble-sand","coral-reef","rocky-reef",NA,NA
"Pomacentrus_coelestis","seagrass-rubble-sand",NA,NA,NA,NA
"Pomacentrus_flavioculus","coral-reef",NA,NA,NA,NA
"Pomacentrus_leptus","coral-reef",NA,NA,NA,NA
"Pomacentrus_littoralis","seagrass-rubble-sand","coral-reef","rocky-reef",NA,NA
"Pomacentrus_magniseptus","rocky-reef",NA,NA,NA,NA
"Pomacentrus_melanochir","coral-reef",NA,NA,NA,NA
"Pomacentrus_microspilus","coral-reef",NA,NA,NA,NA
"Pomacentrus_milleri","coral-reef",NA,NA,NA,NA
"Pomacentrus_nagasakiensis","seagrass-rubble-sand",NA,NA,NA,NA
"Pomacentrus_nigromarginatus","seagrass-rubble-sand","coral-reef","rocky-reef",NA,NA
"Pomacentrus_pavo","seagrass-rubble-sand","coral-reef",NA,NA,NA
"Pomacentrus_similis","coral-reef",NA,NA,NA,NA
"Pomacentrus_smithi","coral-reef",NA,NA,NA,NA
"Pomacentrus_spilotoceps","coral-reef",NA,NA,NA,NA
"Pomacentrus_sulfureus","coral-reef",NA,NA,NA,NA
"Pomacentrus_trichrourus","coral-reef",NA,NA,NA,NA
"Pomacentrus_trilineatus","coral-reef","rocky-reef",NA,NA,NA
"Pomacentrus_tripunctatus","seagrass-rubble-sand","rocky-reef",NA,NA,NA
"Pomacentrus_vatosoa","coral-reef",NA,NA,NA,NA
"Pomacentrus_xanthosternus","coral-reef",NA,NA,NA,NA
"Pomachromis_richardsoni","coral-reef","rocky-reef",NA,NA,NA
"Pycnochromis_alleni","coral-reef","rocky-reef",NA,NA,NA
"Pycnochromis_atripes","coral-reef",NA,NA,NA,NA
"Pycnochromis_delta","coral-reef",NA,NA,NA,NA
"Pycnochromis_fatuhivae","rocky-reef",NA,NA,NA,NA
"Pycnochromis_fieldi","coral-reef",NA,NA,NA,NA
"Pycnochromis_hanui","coral-reef",NA,NA,NA,NA
"Pycnochromis_howsoni","rocky-reef",NA,NA,NA,NA
"Pycnochromis_lineatus","coral-reef",NA,NA,NA,NA
"Pycnochromis_margaritifer","coral-reef","rocky-reef",NA,NA,NA
"Pycnochromis_ovatiformis","coral-reef","rocky-reef",NA,NA,NA
"Pycnochromis_vanderbilti","rocky-reef",NA,NA,NA,NA
"Similiparma_hermani","rocky-reef",NA,NA,NA,NA
"Similiparma_lurida","seagrass-rubble-sand","rocky-reef",NA,NA,NA
"Stegastes_acapulcoensis","rocky-reef",NA,NA,NA,NA
"Stegastes_adustus","rocky-reef",NA,NA,NA,NA
"Stegastes_arcifrons","coral-reef","rocky-reef",NA,NA,NA
"Stegastes_baldwini","coral-reef","rocky-reef",NA,NA,NA
"Stegastes_beebei","coral-reef","rocky-reef",NA,NA,NA
"Stegastes_diencaeus","coral-reef","rocky-reef",NA,NA,NA
"Stegastes_flavilatus","rocky-reef",NA,NA,NA,NA
"Stegastes_fuscus","coral-reef","rocky-reef",NA,NA,NA
"Stegastes_imbricatus","rocky-reef",NA,NA,NA,NA
"Stegastes_lacrymatus","seagrass-rubble-sand","coral-reef","rocky-reef",NA,NA
"Stegastes_leucostictus","seagrass-rubble-sand","coral-reef","rocky-reef",NA,NA
"Stegastes_limbatus","rocky-reef",NA,NA,NA,NA
"Stegastes_otophorus","freshwater",NA,NA,NA,NA
"Stegastes_partitus","coral-reef",NA,NA,NA,NA
"Stegastes_pelicieri","rocky-reef",NA,NA,NA,NA
"Stegastes_pictus","rocky-reef",NA,NA,NA,NA
"Stegastes_planifrons","coral-reef",NA,NA,NA,NA
"Stegastes_punctatus","coral-reef",NA,NA,NA,NA
"Stegastes_rectifraenum","rocky-reef",NA,NA,NA,NA
"Stegastes_rocasensis","rocky-reef",NA,NA,NA,NA
"Stegastes_variabilis","coral-reef",NA,NA,NA,NA
"Teixeirichthys_jordani","seagrass-rubble-sand",NA,NA,NA,NA
